Area,"A00-R99,U00-Y89 All causes, all ages",F10-F19 Mental and behavioural disorders due to psychoactive substance use,G31.2 Degeneration of nervous system due to alcohol,G62.0 Drug-induced polyneuropathy,G62.1 Alcoholic polyneuropathy,G62.2 Polyneuropathy due to other toxic agents,G72.0 Drug-induced myopathy,G72.1 Alcoholic myopathy,G72.2 Myopathy due to other toxic agents,I42.6 Alcoholic cardiomyopathy,I42.7 Cardiomyopathy due to drugs and other external agents,K29.2 Alcoholic gastritis,K70 Alcoholic liver disease,"K73 Chronic hepatitis, not elsewhere classified",K74 Fibrosis and cirrhosis of liver,K74.2 Hepatic fibrosis with hepatic sclerosis,K85.2 Alcohol-induced acute pancreatitis,K86.0 Alcohol-induced chronic pancreatitis,"R78 Findings of drugs and other substances, not normally found in blood",X40-X49 Accidental poisoning by and exposure to noxious substances,X60-X84 Intentional self-harm,X85-Y09 Assault,"Y15 Poisoning by and exposure to alcohol, undetermined intent"
ladu:Merton,1513,5,0,0,0,0,0,0,0,0,0,0,21,0,6,0,0,0,0,9,15,0,0
ladu:Redbridge,2261,0,0,0,0,0,0,0,0,0,0,0,18,0,14,0,0,0,0,9,17,0,0
ladu:Richmond upon Thames,1335,5,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,5,14,0,0
ladu:Sutton,1729,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,0,0,7,15,0,0
ladu:Waltham Forest,1722,0,0,0,0,0,0,0,0,0,0,0,16,0,11,0,0,0,0,7,13,0,0
ladu:Bracknell Forest,845,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,8,0,0
ladu:Brighton and Hove,2229,15,0,0,0,0,0,0,0,0,0,5,31,0,5,0,0,0,0,39,35,0,0
ladu:Isle of Wight,1964,5,0,0,0,0,0,0,0,0,0,0,18,0,6,0,0,0,0,9,9,0,0
ladu:Medway,2626,14,0,0,0,0,0,0,0,5,0,5,23,0,16,0,0,0,0,18,22,0,0
ladu:Milton Keynes,2040,5,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,0,0,17,26,0,0
ladu:Portsmouth,1754,5,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,14,9,0,0
ladu:Reading,1364,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,12,0,0
ladu:Slough,943,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,6,5,0
ladu:Southampton,2000,5,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,0,12,16,0,0
ladu:West Berkshire,1451,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,5,15,0,0
ladu:Windsor and Maidenhead,1413,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,5,7,0,0
ladu:Wokingham,1350,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,5,7,0,0
ladu:Buckinghamshire,4904,6,0,0,0,0,0,0,0,0,0,0,34,0,18,0,0,0,0,30,43,0,0
ladu:Eastbourne,1325,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,9,17,0,0
ladu:Hastings,1057,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,9,0,0
ladu:Lewes,1288,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,9,7,0,0
ladu:Rother,1521,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,5,8,0,0
ladu:Wealden,1880,5,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,5,12,0,0
ladu:Basingstoke and Deane,1590,5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,5,14,0,0
ladu:East Hampshire,1269,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,5,7,0,0
ladu:Eastleigh,1207,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,5,14,0,0
ladu:Fareham,1328,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,5,5,0,0
ladu:Gosport,914,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,7,0,0
ladu:Hart,729,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0
ladu:Havant,1535,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,6,13,0,0
ladu:New Forest,2394,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,8,7,0,0
ladu:Rushmoor,782,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,5,0,0
ladu:Test Valley,1295,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0
ladu:Winchester,1173,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,6,0,0
ladu:Ashford,1334,5,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,8,20,0,0
ladu:Canterbury,1781,5,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,10,13,0,0
ladu:Dartford,984,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,5,9,0,0
ladu:Dover,1515,5,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,16,17,0,0
